artista,genero,anio,similares,bio,listeners,playcount
Shadows Fall,metal,2021,"Unearth, Killswitch Engage, God Forbid","Shadows Fall formed in 1996 in Springfield, Massachusetts and rose up as a prominent member of the bustling Massachusetts metal and hardcore scene that has recently produced bands such as Killswitch Engage, All That Remains, and Unearth. Guitar duo Jonathan Donais  and Matt Bachand got together in '96 and had the original lineup complete within a year. These members were vocalist Philip Labonte, now with All That Remains, bass player Paul Romanko, and drummer David Germain.  <a href=""https://www.last.fm/music/Shadows+Fall"">Read more on Last.fm</a>",422233,8206792
Galneryus,metal,2022,"Syu, Unlucky Morpheus, TEARS OF TRAGEDY","Galneryus is a Japanese neoclassical power metal band formed in early 2001 in Osaka by guitarist Syu and vocalist YAMA-B. They play material inspired by metal legends Dream Theater, Stratovarius, and X Japan.

The current members are Masatoshi ""Sho"" Ono (vocals), Syu (guitar), Taka who replaced Yu-To in 2009 (bass), YUHKI (keyboard) and JUNICHI (drums.) Veterans of the heavy metal scene, they set to work assembling a band. Syu, known as guitarist for the indie heavy metal bands Valkyr <a href=""https://www.last.fm/music/Galneryus"">Read more on Last.fm</a>",195739,8165606
Sonic Syndicate,metal,2023,"The Unguided, Dead by April, Demotional","Sonic Syndicate is a five-piece band from Falkenberg, Sweden who have strong influences from Swedish bands such as In Flames and Soilwork. 

The band is now on hiatus.


Originally formed in 2002 under the name Fallen Angels, by Richard, Roger and Robin Sjunnesson. They recorded three demos, Fall from Heaven, Black Lotus and Extinction.

In 2005 they changed their name to Sonic Syndicate, signed with Pivotal Rockordings, and recorded their debut studio album, Eden Fire. <a href=""https://www.last.fm/music/Sonic+Syndicate"">Read more on Last.fm</a>",545504,21552507
Ram,metal,2020,"Pharaoh, CANTERVILLE, SIDODGI DUBOSHIT","There are eleven artists known as Ram.

1) RAM (also known as Gryaznyy Ramires) is a rapper from Russia, Nizhnevartovsk. Firstly started to make music in 2011 under the name Sergey Versal but in 2014 changed it to Gryaznyy Ramires and started working in pair with Sidoji Duboshit. Together they formed a duet called SIDxRAM.

2)  RAM is a Swedish heavy metal band formed in 1999. They boast uncompromised, no-frills approach to their music.

3) RAM is the alias of Kouichi Yamazaki <a href=""https://www.last.fm/music/Ram"">Read more on Last.fm</a>",150877,2858827
UMC,metal,2021,"Melodicka Bros, Jonathan Young, Ankor","For the Korean Hip-hop artist, go to UMC/UW.

UMC stands for Ultimate Music Covers. Two metalheads on a missionary mission for their beloved genre. Since 2014 drummer Tobias Derer and producer Nils Lesser on guitar show their fellowship how nowadays top 10 hits should sound like! 
By reworking any kind of radio hit from Avicii to Pit Bull and Britney Spears they grew their audience within weeks into a massive YouTube fellowship and started a movement. <a href=""https://www.last.fm/music/UMC"">Read more on Last.fm</a>",31844,448265
Code Red,metal,2022,"Groove Coverage, Gigi D'Agostino, No Mercy","It seems there are nine entries for  ""Code Red"":
1) Boy band from the end of 90's, with songs that sounds a lot like ""Backstreet boys"" or ""N*Sync"".
2) An electronic music group from Russia.
3) Thrash metal band from Japan.
4) The fourth is a hip-hop group from Louisville, Kentucky.
5) Death Metal band from Brasov, Romania
6) Thrash metal band from Germany.
7) A group of 4 bros drunk off mountain dew singing about swag
8) Thrash metal band from the United States, also known as Cöde Red <a href=""https://www.last.fm/music/Code+Red"">Read more on Last.fm</a>",46834,362975
Minniva,metal,2023,"Exit Eden, Brides of Lucifer, Swedish Hitz Goes Metal","Marit ""Minniva"" Børresen is norwegian vocalist that started the YouTube channel ""MinnivaOfficial"" back in 2015. She sings requests from her followers, mainly in the genre of heavy/symphonic metal (from bands like Nightwish, Epica, Sabaton, etc.).

Official page: https://www.minniva.com/ <a href=""https://www.last.fm/music/Minniva"">Read more on Last.fm</a>",27158,367654
Amorphis,metal,2020,"Insomnium, Dark Tranquillity, Sentenced","Amorphis are a Finnish metal band started by Jan Rechberger, Tomi Koivusaari and Esa Holopainen in Helsinki, Finland in 1990. Amorphis absorbed and incorporated influences from many metal genres, and with time passing their sound evolved dramatically. Initially, the band was a Death Metal act, but with time they have evolved into making music that is more classifiable as Doom Metal with folk influences, and, more recently, Folk Metal and Symphonic Metal, utilizing increasingly complex arrangements and a less brutal sound. <a href=""https://www.last.fm/music/Amorphis"">Read more on Last.fm</a>",550452,43800127
Drain,metal,2021,"Mindforce, Incendiary, Sunami","There is more than one artist with this name:

1) DRAIN is a thrash metal/hardcore band from Santa Cruz, California
https://drain831.bandcamp.com/ | https://www.instagram.com/drain831/

2) Drain is Butthole Surfers drummer and former Trance Syndicate head King Coffey with bassist Owen McMahon of  Cherubs  and guitarist David McCreath.

3) DRAIN is a metallic crust band from Maine.

4) Drain was a Czech garage/indie rock band. They have changed their name to The Drain <a href=""https://www.last.fm/music/Drain"">Read more on Last.fm</a>",124690,3834033
Melvins,metal,2022,"Melvins & Lustmord, Big Business, Eyehategod","Melvins is a sludge metal band that formed in Montesano, Washington, United States in 1983. The band currently consists of Buzz Osborne (vocals, guitar), Steven Shane McDonald (bass), and Dale Crover (drums). Osborne is the only remaining original member, although Crover has been a member since early in the band's career.

In the early days of their career. . . their dark, heavy, oppressively slow sound made them innovators of genres like sludge, grunge, and doom metal. <a href=""https://www.last.fm/music/Melvins"">Read more on Last.fm</a>",673766,24465236
Caliban,metal,2023,"Heaven Shall Burn, Bury Tomorrow, As I Lay Dying","There are at least two artists with this name
1. A metalcore band from Germany
2. A folk duo from the United States

1 - Caliban, a metalcore band, was formed in Germany in 1997 under the name Never Again. After 6 months of playing together, the band recorded their first two songs for a compilation, which was never released. The songs were sent to several record labels, and Lifeforce Records was the first to offer the band a record deal. The band's first self-titled MCD came out in the summer of 1998. <a href=""https://www.last.fm/music/Caliban"">Read more on Last.fm</a>",420764,23013011
Amon Amarth,metal,2020,"Ensiferum, Insomnium, Arch Enemy","Amon Amarth is a Swedish melodic death metal band from Tumba, formed in 1992. The band takes its name from the Sindarin name of Mount Doom, a volcano in J. R. R. Tolkien's Middle-earth. Their lyrics mostly deal with Viking mythology and history, and so they have been sometimes erroneously labeled ""Viking metal"", although the band insists they play melodic death metal.

The band is composed of lead guitarist Olavi Mikkonen, vocalist Johan Hegg, bassist Ted Lundström, rhythm guitarist Johan Söderberg, and drummer Jocke Wallgren. <a href=""https://www.last.fm/music/Amon+Amarth"">Read more on Last.fm</a>",817890,73745774
Crowbar,metal,2021,"Eyehategod, Acid Bath, Down","There are multiple artists using this name.

1. Crowbar is an American sludge metal band formed in New Orleans, Louisiana, in 1990.
2. Crowbar was a Canadian rock band based in Hamilton, Ontario, best known for their 1971 hit ""Oh, What a Feeling"".
3. Crowbar was a British punk/oi band active in the 1990s.
4. Crowbar was an electronic band active in the 1990s.

1. Starting in 1989 and taking its name from the Crowbar group in NOLA (New Orleans), Kirk Windstein went on to pioneer slow and heavy music with a unique vocal style. <a href=""https://www.last.fm/music/Crowbar"">Read more on Last.fm</a>",247044,9867649
Suicidal Tendencies,metal,2022,"D.R.I., S.O.D., Municipal Waste","Suicidal Tendencies are an American hardcore band formed in 1980 in Venice, California, by vocalist Mike Muir, who is the only remaining original member of the band. They are often credited as one of the originators of crossover thrash. The current lineup includes Muir, guitarists Dean Pleasants and Ben Weinman, bassist Tye Trujillo and drummer Greyson Nekrutman. Notable musicians who have contributed to the band's studio or live activities include guitarists Rocky George and Mike Clark <a href=""https://www.last.fm/music/Suicidal+Tendencies"">Read more on Last.fm</a>",757903,20370311
Anthony Vincent,metal,2023,"Melodicka Bros, Mac Glocky, Jonathan Young","Multi instrumentalist, classical new age composer & songwriter. Currently working on orchestral movie theme music, Known as lead vocalist, guitarist of the band Defying Silence and also for writing the song I Believe for a Discovery Channel documentary. <a href=""https://www.last.fm/music/Anthony+Vincent"">Read more on Last.fm</a>",57564,509409
Currents,metal,2020,"Polaris, Invent Animate, Silent Planet","1. Currents is an American metalcore band formed in Newtown, Connecticut in 2011 by former drummer Jeff Brown. After numerous line-up changes, they consist of singer Brian Wille, guitarists Ryan Castaldi and Chris Wiseman, bassist and backing vocalist Christian Pulgarin, and drummer Matt Young. Since 2018, no original members remain with the band. 

The band formed as We Came As Plague in 2009. They reformed as Currents and added Patrizio Arpaia on vocals to bring the band full circle.  <a href=""https://www.last.fm/music/Currents"">Read more on Last.fm</a>",248963,16006247
Diablo,metal,2021,"Mokoma, Stam1na, Kotiteollisuus","There are at least six artists named ""Diablo"":
1) A Four piece Finnish melodic death metal band formed in 1995.
2) A Korean thrash metal band.
3) An experimental Chilean screamo/post rock band
4) An Amiga demoscene musician active in the early and mid 1990s
5) An obscure heavy metal band from the Philippines formed in the early 70s.
6) A chicano gangsta rapper from southern california.

1) Diablo was born in the late 1990s in Finland. They recorded it´s first mini-album ""Princess"" catching a record deal with Poko Rekords. <a href=""https://www.last.fm/music/Diablo"">Read more on Last.fm</a>",193583,7007874
Orgy,metal,2022,"Gravity Kills, Deadsy, Stabbing Westward","Orgy was formed in Los Angeles, California in 1997 and signed to Korn's Elementree record label soon after. They quickly released their first album, ""Candyass."" Soon after, they performed the duty of opening act on the Family Values tour in '98, where they were introduced to many for the first time. Around then, they had their first hit with a cover of New Order's Blue Monday, followed with successful singles for Stitches and Fiction (Dreams in Digital). <a href=""https://www.last.fm/music/Orgy"">Read more on Last.fm</a>",606945,11125918
